#   Radius       Mass      Log(P)   Log(Rho)   Log(T)     L(r)      Pgas/P    Log(jrot)     L/m      v/csound    omega       v_rot       csound   
8.3613e+00 3.8457e+01 4.9545e+00 -8.2509e+00 4.8655e+00 1.8191e+06 1.8814e-01 1.7183e+01 4.7303e+04 0.0000e+00 6.7568e-07 3.9320e+00 4.5705e+06
8.3613e+00 3.8457e+01 4.9555e+00 -8.2502e+00 4.8658e+00 1.8191e+06 1.8812e-01 1.7183e+01 4.7303e+04 0.0000e+00 6.7568e-07 3.9320e+00 4.5728e+06
8.3613e+00 3.8457e+01 4.9566e+00 -8.2495e+00 4.8661e+00 1.8191e+06 1.8811e-01 1.7183e+01 4.7302e+04 0.0000e+00 6.7547e-07 3.9308e+00 4.5753e+06
8.3612e+00 3.8457e+01 4.9575e+00 -8.2489e+00 4.8663e+00 1.8191e+06 1.8809e-01 1.7183e+01 4.7302e+04 0.0000e+00 6.7527e-07 3.9296e+00 4.5773e+06
8.3612e+00 3.8457e+01 4.9589e+00 -8.2480e+00 4.8667e+00 1.8191e+06 1.8807e-01 1.7183e+01 4.7302e+04 0.0000e+00 6.7507e-07 3.9284e+00 4.5804e+06
8.3611e+00 3.8457e+01 4.9615e+00 -8.2463e+00 4.8673e+00 1.8191e+06 1.8802e-01 1.7183e+01 4.7301e+04 0.0000e+00 6.7479e-07 3.9267e+00 4.5861e+06
8.3610e+00 3.8457e+01 4.9645e+00 -8.2443e+00 4.8681e+00 1.8190e+06 1.8797e-01 1.7183e+01 4.7299e+04 0.0000e+00 6.7450e-07 3.9250e+00 4.5928e+06
8.3609e+00 3.8457e+01 4.9690e+00 -8.2413e+00 4.8692e+00 1.8189e+06 1.8788e-01 1.7182e+01 4.7296e+04 0.0000e+00 6.7416e-07 3.9230e+00 4.6028e+06
8.3607e+00 3.8457e+01 4.9746e+00 -8.2377e+00 4.8706e+00 1.8185e+06 1.8779e-01 1.7182e+01 4.7288e+04 0.0000e+00 6.7388e-07 3.9212e+00 4.6151e+06
8.3605e+00 3.8457e+01 4.9797e+00 -8.2343e+00 4.8719e+00 1.8182e+06 1.8769e-01 1.7182e+01 4.7278e+04 0.0000e+00 6.7360e-07 3.9195e+00 4.6264e+06
8.3603e+00 3.8457e+01 4.9869e+00 -8.2296e+00 4.8737e+00 1.8177e+06 1.8753e-01 1.7182e+01 4.7267e+04 0.0000e+00 6.7333e-07 3.9178e+00 4.6426e+06
8.3600e+00 3.8457e+01 5.0013e+00 -8.2204e+00 4.8774e+00 1.8167e+06 1.8712e-01 1.7181e+01 4.7239e+04 0.0000e+00 6.7294e-07 3.9154e+00 4.6763e+06
8.3593e+00 3.8457e+01 5.0151e+00 -8.2110e+00 4.8809e+00 1.8131e+06 1.8694e-01 1.7181e+01 4.7145e+04 0.0000e+00 6.7265e-07 3.9134e+00 4.7056e+06
8.3590e+00 3.8457e+01 5.0269e+00 -8.2034e+00 4.8839e+00 1.8114e+06 1.8660e-01 1.7181e+01 4.7101e+04 0.0000e+00 6.7229e-07 3.9112e+00 4.7327e+06
8.3584e+00 3.8457e+01 5.0497e+00 -8.1892e+00 4.8897e+00 1.8075e+06 1.8576e-01 1.7181e+01 4.7000e+04 0.0000e+00 6.7194e-07 3.9089e+00 4.7866e+06
8.3573e+00 3.8457e+01 5.0709e+00 -8.1747e+00 4.8950e+00 1.7957e+06 1.8550e-01 1.7180e+01 4.6692e+04 0.0000e+00 6.7170e-07 3.9070e+00 4.8275e+06
8.3568e+00 3.8457e+01 5.0840e+00 -8.1661e+00 4.8983e+00 1.7905e+06 1.8515e-01 1.7180e+01 4.6559e+04 0.0000e+00 6.7141e-07 3.9050e+00 4.8547e+06
8.3563e+00 3.8457e+01 5.1023e+00 -8.1545e+00 4.9030e+00 1.7845e+06 1.8451e-01 1.7180e+01 4.6403e+04 0.0000e+00 6.7119e-07 3.9035e+00 4.8933e+06
